id,title,body,label,created_at,text,title_clean,body_clean,text_clean
221,Add support for JSON Lines export format,"It would be great to export results in `Arrow` format in addition to the existing options.

Use case: I'm integrating with Spark which only accepts Arrow.

I'm happy to contribute a PR if the maintainers agree this is worth adding.",feature,2024-04-03T04:41:38Z,"Add support for JSON Lines export format It would be great to export results in `Arrow` format in addition to the existing options.

Use case: I'm integrating with Spark which only accepts Arrow.

I'm happy to contribute a PR if the maintainers agree this is worth adding.",Add support for JSON Lines export format,It would be great to export results in [CODE] format in addition to the existing options. Use case: I'm integrating with Spark which only accepts Arrow. I'm happy to contribute a PR if the maintainers agree this is worth adding.,Add support for JSON Lines export format Add support for JSON Lines export format It would be great to export results in [CODE] format in addition to the existing options. Use case: I'm integrating with Spark which only accepts Arrow. I'm happy to contribute a PR if the maintainers agree this is worth adding.
141,How does Pipeline handle the file is locked?,,question,2023-06-15T15:12:34Z,How does Pipeline handle the file is locked? ,How does Pipeline handle the file is locked?,,How does Pipeline handle the file is locked? How does Pipeline handle the file is locked?
195,Support async context manager in Processor,"Currently `Processor` only supports synchronous context managers (`with` statement).

It would be very useful to support `async with Processor() as ctx:` for use in asyncio applications.

Related: #10",feature,2024-01-04T08:23:55Z,"Support async context manager in Processor Currently `Processor` only supports synchronous context managers (`with` statement).

It would be very useful to support `async with Processor() as ctx:` for use in asyncio applications.

Related: #10",Support async context manager in Processor,Currently [CODE] only supports synchronous context managers ( [CODE] statement). It would be very useful to support [CODE] for use in asyncio applications. Related: #10,Support async context manager in Processor Support async context manager in Processor Currently [CODE] only supports synchronous context managers ( [CODE] statement). It would be very useful to support [CODE] for use in asyncio applications. Related: #10
142,TypeError when calling run with list argument,"I'm using version 0.8.1. When I call `process([])` I get:
```
TypeError: expected int, got float
```
This worked in v4.30.0. Steps to reproduce:
1. Install `pip install lib==0.8.1`
2. Run the attached script

OS: Ubuntu 22.04, Python: 3.11",bug,2023-06-16T18:40:17Z,"TypeError when calling run with list argument I'm using version 0.8.1. When I call `process([])` I get:
```
TypeError: expected int, got float
```
This worked in v4.30.0. Steps to reproduce:
1. Install `pip install lib==0.8.1`
2. Run the attached script

OS: Ubuntu 22.04, Python: 3.11",TypeError when calling run with list argument,"I'm using version 0.8.1. When I call [CODE] I get: [CODE] This worked in v4.30.0. Steps to reproduce: 1. Install [CODE] 2. Run the attached script OS: Ubuntu 22.04, Python: 3.11","TypeError when calling run with list argument TypeError when calling run with list argument I'm using version 0.8.1. When I call [CODE] I get: [CODE] This worked in v4.30.0. Steps to reproduce: 1. Install [CODE] 2. Run the attached script OS: Ubuntu 22.04, Python: 3.11"
314,Add support for HDF5 export format,"It would be great to export results in `Arrow` format in addition to the existing options.

Use case: I'm integrating with dbt which only accepts Arrow.

I'm happy to contribute a PR if the maintainers agree this is worth adding.",feature,2024-01-03T13:53:46Z,"Add support for HDF5 export format It would be great to export results in `Arrow` format in addition to the existing options.

Use case: I'm integrating with dbt which only accepts Arrow.

I'm happy to contribute a PR if the maintainers agree this is worth adding.",Add support for HDF5 export format,It would be great to export results in [CODE] format in addition to the existing options. Use case: I'm integrating with dbt which only accepts Arrow. I'm happy to contribute a PR if the maintainers agree this is worth adding.,Add support for HDF5 export format Add support for HDF5 export format It would be great to export results in [CODE] format in addition to the existing options. Use case: I'm integrating with dbt which only accepts Arrow. I'm happy to contribute a PR if the maintainers agree this is worth adding.
219,Documentation for parse is missing return type,"The docstring for `validate` doesn't mention what it returns. Looking at the source it returns `list` but this should be documented.

Currently:
```
def validate(x):
    """"""Process x.""""""
```

Expected:
```
def validate(x) -> list:
    """"""Process x.
    Returns: list — ...
    """"""
```",docs,2024-03-30T04:58:34Z,"Documentation for parse is missing return type The docstring for `validate` doesn't mention what it returns. Looking at the source it returns `list` but this should be documented.

Currently:
```
def validate(x):
    """"""Process x.""""""
```

Expected:
```
def validate(x) -> list:
    """"""Process x.
    Returns: list — ...
    """"""
```",Documentation for parse is missing return type,The docstring for [CODE] doesn't mention what it returns. Looking at the source it returns [CODE] but this should be documented. Currently: [CODE] Expected: [CODE],Documentation for parse is missing return type Documentation for parse is missing return type The docstring for [CODE] doesn't mention what it returns. Looking at the source it returns [CODE] but this should be documented. Currently: [CODE] Expected: [CODE]
253,Add support for Arrow export format,"It would be great to export results in `JSON Lines` format in addition to the existing options.

Use case: I'm integrating with dbt which only accepts JSON Lines.

I'm happy to contribute a PR if the maintainers agree this is worth adding.",feature,2024-08-01T16:36:31Z,"Add support for Arrow export format It would be great to export results in `JSON Lines` format in addition to the existing options.

Use case: I'm integrating with dbt which only accepts JSON Lines.

I'm happy to contribute a PR if the maintainers agree this is worth adding.",Add support for Arrow export format,It would be great to export results in [CODE] format in addition to the existing options. Use case: I'm integrating with dbt which only accepts JSON Lines. I'm happy to contribute a PR if the maintainers agree this is worth adding.,Add support for Arrow export format Add support for Arrow export format It would be great to export results in [CODE] format in addition to the existing options. Use case: I'm integrating with dbt which only accepts JSON Lines. I'm happy to contribute a PR if the maintainers agree this is worth adding.
60,Add CLI command for lint,"There's no CLI command to benchmark. Users currently have to write a Python script.

Proposed:
```bash
lib benchmark --input file.json --output out/
```

This would significantly improve the DX for non-Python users.",feature,2022-08-28T15:08:42Z,"Add CLI command for lint There's no CLI command to benchmark. Users currently have to write a Python script.

Proposed:
```bash
lib benchmark --input file.json --output out/
```

This would significantly improve the DX for non-Python users.",Add CLI command for lint,There's no CLI command to benchmark. Users currently have to write a Python script. Proposed: [CODE] This would significantly improve the DX for non-Python users.,Add CLI command for lint Add CLI command for lint There's no CLI command to benchmark. Users currently have to write a Python script. Proposed: [CODE] This would significantly improve the DX for non-Python users.
246,ValueError when encode receives empty input,"`run([])` raises `ValueError: list is empty` instead of returning an empty result.

Expected: return `[]`
Actual: raises exception

Version 4.35.0, Python 3.12",bug,2024-07-08T15:35:48Z,"ValueError when encode receives empty input `run([])` raises `ValueError: list is empty` instead of returning an empty result.

Expected: return `[]`
Actual: raises exception

Version 4.35.0, Python 3.12",ValueError when encode receives empty input,"[CODE] raises [CODE] instead of returning an empty result. Expected: return [CODE] Actual: raises exception Version 4.35.0, Python 3.12","ValueError when encode receives empty input ValueError when encode receives empty input [CODE] raises [CODE] instead of returning an empty result. Expected: return [CODE] Actual: raises exception Version 4.35.0, Python 3.12"
78,transform raises AttributeError on Windows 11,"Reproduction:
```python
from lib import Session
obj = Session()
obj.fit()  # AttributeError: 'Session' has no attribute 'read'
```
Works fine on macOS, fails on macOS 14. Version 0.8.1.",bug,2022-11-07T17:54:24Z,"transform raises AttributeError on Windows 11 Reproduction:
```python
from lib import Session
obj = Session()
obj.fit()  # AttributeError: 'Session' has no attribute 'read'
```
Works fine on macOS, fails on macOS 14. Version 0.8.1.",transform raises AttributeError on Windows 11,"Reproduction: [CODE] Works fine on macOS, fails on macOS 14. Version 0.8.1.","transform raises AttributeError on Windows 11 transform raises AttributeError on Windows 11 Reproduction: [CODE] Works fine on macOS, fails on macOS 14. Version 0.8.1."
